sentence1,sentence2,score,BoW score,TF-IDF score,BoW Pearson Correlation,BoW Spearman Rank Correlation,TF-IDF Pearson Correlation,TF-IDF Spearman Rank Correlation,BoW/True,TF-IDF/True
A plane is taking off.,An air plane is taking off.,1.0,0.8164965809277261,0.8335532357732083,0.6155996890240858,0.5954448588531247,0.7040039456980351,0.6800503056821073,0.8164965809277261,0.8335532357732083
A man is playing a large flute.,A man is playing a flute.,0.76,0.8944271909999159,0.8338802875083728,0.0,0.0,0.0,0.0,1.176877882894626,1.0972109046162801
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,0.76,0.7559289460184544,0.6116755444885693,0.0,0.0,0.0,0.0,0.9946433500242821,0.8048362427481175
Three men are playing chess.,Two men are playing chess.,0.52,0.7999999999999999,0.8733179643127706,0.0,0.0,0.0,0.0,1.5384615384615383,1.6794576236784051
A man is playing the cello.,A man seated is playing the cello.,0.85,0.912870929175277,0.8020562036162421,0.0,0.0,0.0,0.0,1.0739657990297378,0.9435955336661672
Some men are fighting.,Two men are fighting.,0.85,0.75,0.8036704238360948,0.0,0.0,0.0,0.0,0.8823529411764706,0.9454946162777585
A man is smoking.,A man is skating.,0.1,0.6666666666666669,0.20698657858406208,0.0,0.0,0.0,0.0,6.666666666666668,2.0698657858406206
The man is playing the piano.,The man is playing the guitar.,0.32,0.8749999999999998,0.6148648020632591,0.0,0.0,0.0,0.0,2.734374999999999,1.9214525064476846
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,0.44,0.6681531047810609,0.6396480700492043,0.0,0.0,0.0,0.0,1.5185297835933202,1.4537456137481917
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,1.0,0.7216878364870323,0.6056114465302789,0.0,0.0,0.0,0.0,0.7216878364870323,0.6056114465302789
The man hit the other man with a stick.,The man spanked the other man with a stick.,0.84,0.916666666666667,0.6966755239302693,0.0,0.0,0.0,0.0,1.0912698412698416,0.8293756237265111
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,0.92,0.8366600265340756,0.8788001447632048,0.0,0.0,0.0,0.0,0.9094130723196473,0.9552175486556573
A man is playing a flute.,A man is playing a bamboo flute.,0.77,0.8944271909999159,0.7238685766094889,0.0,0.0,0.0,0.0,1.1615937545453452,0.9400890605318037
A person is folding a piece of paper.,Someone is folding a piece of paper.,0.93,0.8333333333333336,0.8544235048321687,0.0,0.0,0.0,0.0,0.8960573476702511,0.9187349514324393
A man is running on the road.,A panda dog is running on the road.,0.33,0.7715167498104596,0.6766288473657889,0.0,0.0,0.0,0.0,2.3379295448801805,2.0503904465629965
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,0.75,0.6324555320336759,0.6609005371695668,0.0,0.0,0.0,0.0,0.8432740427115678,0.881200716226089
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,1.0,0.8366600265340756,0.9027323736762408,0.0,0.0,0.0,0.0,0.8366600265340756,0.9027323736762408
A woman is writing.,A woman is swimming.,0.1,0.6666666666666669,0.28569617590613977,0.0,0.0,0.0,0.0,6.666666666666668,2.8569617590613974
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,0.76,0.912870929175277,0.9031162796661181,0.0,0.0,0.0,0.0,1.201145959441154,1.1883108942975238
The man is riding a horse.,A man is riding on a horse.,1.0,0.7999999999999999,0.914548074520127,0.0,0.0,0.0,0.0,0.7999999999999999,0.914548074520127
A man pours oil into a pot.,A man pours wine in a pot.,0.64,0.6,0.6363311649462122,0.0,0.0,0.0,0.0,0.9375,0.9942674452284566
A man is playing a guitar.,A girl is playing a guitar.,0.56,0.75,0.7427276099369279,0.0,0.0,0.0,0.0,1.3392857142857142,1.3262993034587998
A panda is sliding down a slide.,A panda slides down a slide.,0.92,0.6708203932499369,0.6763460461786517,0.0,0.0,0.0,0.0,0.729152601358627,0.7351587458463605
A woman is eating something.,A woman is eating meat.,0.6,0.75,0.5544305001279941,0.0,0.0,0.0,0.0,1.25,0.9240508335466568
A woman peels a potato.,A woman is peeling a potato.,1.0,0.5773502691896258,0.4892249387746861,0.0,0.0,0.0,0.0,0.5773502691896258,0.4892249387746861
The boy fell off his bike.,A boy falls off his bike.,0.96,0.7302967433402215,0.6839854167130374,0.0,0.0,0.0,0.0,0.7607257743127308,0.7124848090760806
